# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: eV, datatype: float64}
# - {name: flux, unit: erg / (cm2 s ), datatype: float64}
# - {name: flux_error, unit: erg / (cm2 s ), datatype: float64}
# meta: !!omap
# - comments: [fake data]
# - keywords: !!omap
#   - cl: {value: 0.95}
energy  flux   flux_error    


281317030000  5.66E-12  8.73592079082071E-13
341012000000  3.80E-12  7.38704063531973E-13
415124000000  4.43E-12  6.87417650700695E-13
503835000000  4.91E-12  6.73828776230376E-13
610757000000  4.30E-12  6.39942442241012E-13
739783000000  3.44E-12  6.16806422809494E-13
895535000000  4.75E-12  6.50009479521219E-13
1084610000000  3.54E-12  6.42750385406062E-13
1314820000000  4.22E-12  6.73191873151657E-13
1594310000000  3.24E-12  6.70492763901923E-13
1935779900000  3.34E-12  7.12544048464256E-13
2351489800000  3.24E-12  7.24567838595967E-13
2857030200000  2.75E-12  7.94520066972156E-13
3469630000000  1.25E-12  7.25921571375565E-13
4210240000000  2.23E-12  9.16340841719597E-13
5101580000000  2.18E-12  9.52375877870035E-13
6180460000000  1.45E-12  9.02716843553541E-13
8128250000000  8.29E-13  5.64067144983086E-13
11770500000000  4.27E-13  3.87246362985806E-13
16574099000000  6.89E-13  5.90039954273907E-13
27349998000000  5.53E-13  4.45614340073317E-13

